Symbol,Quantity,Price,Equity,Percent Change,Type,Beta,Trend
NVDA,137.47337000,159.240000,21891.26,645.22,stock,2.122,uptrend
LIT,12.30990100,39.750000,489.32,-49.49,etp,N/A,uptrend
GOOGL,23.48766700,179.540000,4216.98,33.87,stock,1.014,uptrend
ISRG,6.05067400,544.470000,3294.41,65.56,stock,1.676,downtrend
RNW,216.79560400,7.638100,1655.91,1.13,stock,0.888,sideways
ARKK,60.85567100,71.149900,4329.87,19.74,etp,N/A,uptrend
PANW,2.84169600,201.510000,572.63,129.05,stock,0.973,uptrend
AI,12.00000000,25.760000,309.12,-42.50,stock,2.035,sideways
OPEN,100.00000000,0.610000,61.00,-79.42,stock,2.761,downtrend
EURL,8.00000000,34.300000,274.40,18.03,etp,N/A,uptrend
DRN,500.00000000,9.800000,4900.00,-10.03,etp,N/A,uptrend
UBX,0.10000000,0.286100,0.03,0.00,stock,1.057,downtrend
YINN,7.00000000,39.332100,275.32,-17.20,etp,N/A,uptrend
RYLD,100.00000000,14.999900,1499.99,-17.38,etp,N/A,uptrend
AMZU,100.00000000,37.896700,3789.67,69.65,etp,N/A,uptrend
CDNS,6.00000000,329.789300,1978.74,31.05,stock,0.984,sideways
TNA,100.00000000,36.900000,3690.00,-5.58,etp,N/A,uptrend
MBLY,100.00000000,19.139300,1913.93,-9.32,stock,0.468,uptrend
AWAY,10.00000000,22.120000,221.20,-22.33,etp,N/A,sideways
IBIT,457.00000000,62.520000,28571.64,47.01,etp,N/A,sideways
MSFU,100.00000000,49.800700,4980.07,2.33,etp,N/A,uptrend
AAPU,100.00000000,23.660300,2366.03,-29.03,etp,N/A,uptrend
OKLO,100.00000000,53.600000,5360.00,40.50,stock,0.596,uptrend
SERV,100.00000000,10.780000,1078.00,-17.01,stock,N/A,downtrend
GRNY,200.00000000,22.869600,4573.92,10.75,etp,N/A,uptrend
RCAT,50.00000000,7.079800,353.99,-19.73,stock,0.764,uptrend
KORU,2.40000000,83.750000,201.00,-67.15,etp,N/A,uptrend
FNGU,2850.00000000,25.030000,71335.50,41.33,etp,N/A,uptrend
