Symbol,Quantity,Price,Equity,Percent Change,Type,Beta,Trend
UBX,0.00000000,0.0000,0.0,N/A,N/A,1.057,downtrend
NVDA,137.47337000,21.3681,2937.5447174969995,N/A,N/A,2.122,uptrend
LIT,12.30990100,78.7033,968.8298313733,N/A,N/A,N/A,uptrend
GOOGL,23.48766700,134.1129,3149.9991356042997,N/A,N/A,1.014,uptrend
ISRG,6.05067400,328.8725,1989.900285065,N/A,N/A,1.676,downtrend
QYLD,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
RNW,216.79560400,7.5528,1637.4138378912,N/A,N/A,0.888,sideways
KORU,0.00000000,25.4950,0.0,N/A,N/A,N/A,uptrend
ARKK,60.85567100,59.4223,3616.1839388633,N/A,N/A,N/A,uptrend
PANW,2.84169600,87.9756,249.99991061760002,N/A,N/A,0.973,uptrend
INDF,0.00000000,0.0000,0.0,N/A,N/A,N/A,sideways
METV,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
AI,12.00000000,44.7983,537.5796,N/A,N/A,2.035,sideways
AWAY,0.00000000,28.4800,0.0,N/A,N/A,N/A,sideways
QQQ,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
OPEN,100.00000000,2.9636,296.36,N/A,N/A,2.761,downtrend
IBN,0.00000000,0.0000,0.0,N/A,N/A,0.467,downtrend
EURL,8.00000000,29.0600,232.48,N/A,N/A,N/A,uptrend
DRN,500.00000000,10.8925,5446.25,N/A,N/A,N/A,uptrend
TQQQ,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
XLC,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
XYLD,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
UBX,0.10000000,0.0000,0.0,N/A,N/A,1.057,downtrend
YINN,7.00000000,47.5000,332.5,N/A,N/A,N/A,uptrend
RYLD,100.00000000,18.1550,1815.5,N/A,N/A,N/A,uptrend
AMZU,100.00000000,22.3384,2233.84,N/A,N/A,N/A,uptrend
FNGA,0.00000000,0.0000,0.0,N/A,N/A,N/A,not enough data
CDNS,6.00000000,251.6533,1509.9198000000001,N/A,N/A,0.984,sideways
TNA,100.00000000,39.0800,3908.0,N/A,N/A,N/A,uptrend
MBLY,100.00000000,21.1070,2110.7,N/A,N/A,0.468,uptrend
SPYU,0.00000000,0.0000,0.0,N/A,N/A,N/A,uptrend
AWAY,10.00000000,28.4800,284.8,N/A,N/A,N/A,sideways
IBIT,457.00000000,42.5280,19435.296,N/A,N/A,N/A,sideways
MSFU,100.00000000,48.6675,4866.75,N/A,N/A,N/A,uptrend
AAPU,100.00000000,33.3384,3333.84,N/A,N/A,N/A,sideways
OKLO,100.00000000,38.1500,3815.0,N/A,N/A,0.596,uptrend
SERV,100.00000000,12.9900,1299.0,N/A,N/A,N/A,downtrend
GRNY,200.00000000,20.6500,4130.0,N/A,N/A,N/A,uptrend
RCAT,50.00000000,8.8200,441.0,N/A,N/A,0.764,uptrend
KORU,2.40000000,254.9500,611.88,N/A,N/A,N/A,uptrend
FNGU,2850.00000000,17.7100,50473.5,N/A,N/A,N/A,uptrend
