Symbol,Quantity,Price,Equity,Percent Change,Type,Beta,Trend
NVDA,137.47337000,21.3681,2937.5447174969995,N/A,N/A,2.122,uptrend
LIT,12.30990100,78.7033,968.8298313733,N/A,N/A,N/A,uptrend
GOOGL,23.48766700,134.1129,3149.9991356042997,N/A,N/A,1.014,uptrend
ISRG,6.05067400,328.8725,1989.900285065,N/A,N/A,1.676,downtrend
RNW,216.79560400,7.5528,1637.4138378912,N/A,N/A,0.888,sideways
ARKK,60.85567100,59.4223,3616.1839388633,N/A,N/A,N/A,uptrend
PANW,2.84169600,87.9756,249.99991061760002,N/A,N/A,0.973,uptrend
AI,12.00000000,44.7983,537.5796,N/A,N/A,2.035,sideways
OPEN,100.00000000,2.9636,296.36,N/A,N/A,2.761,downtrend
EURL,8.00000000,29.0600,232.48,N/A,N/A,N/A,uptrend
DRN,500.00000000,10.8925,5446.25,N/A,N/A,N/A,uptrend
UBX,0.10000000,0.0000,0.0,N/A,N/A,1.057,downtrend
YINN,7.00000000,47.5000,332.5,N/A,N/A,N/A,uptrend
RYLD,100.00000000,18.1550,1815.5,N/A,N/A,N/A,uptrend
AMZU,100.00000000,22.3384,2233.84,N/A,N/A,N/A,uptrend
CDNS,6.00000000,251.6533,1509.9198000000001,N/A,N/A,0.984,sideways
TNA,100.00000000,39.0800,3908.0,N/A,N/A,N/A,uptrend
MBLY,100.00000000,21.1070,2110.7,N/A,N/A,0.468,uptrend
AWAY,10.00000000,28.4800,284.8,N/A,N/A,N/A,sideways
IBIT,457.00000000,42.5280,19435.296,N/A,N/A,N/A,sideways
MSFU,100.00000000,48.6675,4866.75,N/A,N/A,N/A,uptrend
AAPU,100.00000000,33.3384,3333.84,N/A,N/A,N/A,sideways
OKLO,100.00000000,38.1500,3815.0,N/A,N/A,0.596,uptrend
SERV,100.00000000,12.9900,1299.0,N/A,N/A,N/A,downtrend
GRNY,200.00000000,20.6500,4130.0,N/A,N/A,N/A,uptrend
RCAT,50.00000000,8.8200,441.0,N/A,N/A,0.764,uptrend
KORU,2.40000000,254.9500,611.88,N/A,N/A,N/A,uptrend
FNGU,2850.00000000,17.7100,50473.5,N/A,N/A,N/A,uptrend
AMAT,20.00000000,98.0340,1960.68,N/A,N/A,1.664,uptrend
EWY,10.00000000,89.8000,898.0,N/A,N/A,N/A,uptrend
PSCF,20.00000000,63.4800,1269.6,N/A,N/A,N/A,uptrend
TQQQ,100.00000000,89.5000,8950.0,N/A,N/A,N/A,uptrend
FINX,50.00000000,44.4074,2220.3700000000003,N/A,N/A,N/A,uptrend
DUSL,400.00000000,37.6250,15050.0,N/A,N/A,N/A,uptrend
REMX,35.00000000,107.2371,3753.2985,N/A,N/A,N/A,uptrend
TMF,40.00000000,58.9800,2359.2,N/A,N/A,N/A,uptrend
LCID,10.00000000,41.9660,419.66,N/A,N/A,0.817,downtrend
MELI,1.00000000,1930.0000,1930.0,N/A,N/A,1.506,downtrend
MSFT,16.00000000,264.6675,4234.68,N/A,N/A,1.026,uptrend
NIO,150.00000000,41.3316,6199.740000000001,N/A,N/A,1.575,downtrend
PLTR,250.34243000,24.3213,6088.653342759,N/A,N/A,2.638,uptrend
SHOP,50.00000000,144.2000,7209.999999999999,N/A,N/A,2.626,uptrend
MSFU,25.00000000,44.5000,1112.5,N/A,N/A,N/A,uptrend
IBIT,900.00000000,50.1294,45116.46,N/A,N/A,N/A,sideways
DPST,50.00000000,114.0000,5700.0,N/A,N/A,N/A,uptrend
YANG,10.00000000,72.2000,722.0,N/A,N/A,N/A,downtrend
GRNY,100.00000000,20.2500,2025.0,N/A,N/A,N/A,uptrend
MSTR,5.00000000,345.0000,1725.0,N/A,N/A,3.757,sideways
KORU,20.00000000,118.8100,2376.2,N/A,N/A,N/A,uptrend
TMV,150.00000000,39.5000,5925.0,N/A,N/A,N/A,downtrend
PLTU,100.00000000,61.0000,6100.0,N/A,N/A,N/A,uptrend
YINN,190.00000000,47.1500,8958.5,N/A,N/A,N/A,uptrend
